title,channel_title,desc,date,tags,liked,disliked,views
Nastya and kids jokes with her friends,Like Nastya,"Nastya and friends come up with jokes on each other.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-22T07:00:01Z,"['kids jokes', 'jokes for kids', 'kids playing', 'play toys', 'pretend play', 'toys', 'nastya and friends', 'nastya', 'like nastya']",26215,8541,3298245
Nastya and her friends are playing a mysterious challenge,Like Nastya,"Dad arranged a funny mysterious challenge for Nastya and her friends.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-20T07:00:17Z,"['challenge for kids', 'kids playing', 'playtime', 'misterios challenge', 'play toys', 'toys for kids', 'play date', 'funny kids', 'nastya and friends', 'nastya', 'like nastya', 'настя']",37347,11450,4680951
Nastya and Dad - short videos for kids,Like Nastya,"Nastya and Dad in short funny stories for kids.
#shorts 
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-17T06:00:04Z,"['short film', 'short stories for kids', 'shorts', 'stories for kids', 'shorts for kids', 'kids videos', 'nastya', 'nastya and dad', 'like nastya', 'настя']",19791,7427,4902545
Nastya and new friendly family stories for children and their parents,Like Nastya,"A collection of fun watermelon stories, masks and fun adventures with dad for the whole family.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-14T07:00:06Z,"['stories for kids', 'family stories', 'compilation for kids', 'family friendly', 'kids videos', 'pretend play', 'toys', 'playing', 'nastya and dad', 'like nastya', 'nastya', 'настя']",37057,13689,5397669
Nastya Pretends to Play with dad in the Hotel,Like Nastya,"Nastya pretends to play in the hotel and dad comes to her to play
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-11T06:00:13Z,"['play hotel', 'family friendly', 'play toys', 'hotel', 'kids play', 'pretend play', 'toy', 'kids video', 'nastya and dad', 'like nastya', 'nastya', 'настя']",157632,56702,26970077
Nastya and her Family trip to the pig island,Like Nastya,"Nastya and dad are going on a new journey to the islands where pigs live.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-07T06:00:00Z,"['family trip', 'pig island', 'travel', 'journey', 'family friendly', 'pigs', 'nastya and dad', 'fun', 'entertainment for kids', 'nastya', 'like nastya', 'настя']",37051,10600,4956880
Nastya and her Friends Princesses,Like Nastya,"Nastya invites her Princess friends to visit her to play with them in the beauty salon.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-05T06:00:15Z,"['princesses', 'pretend play', 'playing', 'friends', 'kids playing', 'princess toys', 'toys', 'nastya and friends', 'nastya', 'like nastya', 'настя']",190098,75388,34492796
Nastya and dad are learning the Alphabet and Numbers | Educational Videos for Toddlers,Like Nastya,"Nastya and dad learn the Alphabet and Numbers. Educational Videos for Toddlers
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2021-01-02T06:00:05Z,"['learn the alphabet', 'numbers', 'numbers 1 to 10', 'learn numbers', 'educational videos for toddlers', 'surprise boxes', 'alphabet', 'learn numbers for toddlers', 'educational', 'abc', 'learn and play', 'nastya and dad', 'nastya', 'like nastya', 'настя']",230449,96234,36625406
Nastya and Dad in a New Year's story about a family trip,Like Nastya,"Nastya and dad go on a winter trip. They get into the New Year's story with adventures and miracles.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-31T06:00:07Z,"['family trip', ""New Year's story"", 'happy new year', 'story for kids', 'family friendly', 'play', 'play with snow', 'winter trip', 'nastya and dad', 'nastya', 'like nastya', 'настя']",68395,19368,10778576
Nastya and dad changed places,Like Nastya,"Nastya and dad have changed places, now Nastya is doing dad's work and dad is behaving like Nastya.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-29T07:00:08Z,"['changed places', 'kids behavior', 'family video', 'behavior for kids', 'pretend play', 'family friendly', 'play', 'nastya and dad', 'funny dad', 'nastya', 'like nastya', 'настя']",132364,52402,26865839
Nastya copies dad all day,Like Nastya,"Nastya is pretending and trying to copy everything that dad does. This is a lot of fun for the whole family.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-25T07:00:06Z,"['copying dad challenge', 'family friendly', 'copying challenge', 'family activities', 'pretend play', 'family fun', 'funny dad', 'nastya and dad', 'family video', 'nastya', 'like nastya', 'настя']",236383,85481,45077326
Nastya and Family drive-thru Christmas trip,Like Nastya,"Nastya and dad are driving on a trip to the Christmas park to visit Santa Claus.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-22T06:00:02Z,"['family trip', 'christmas trip', 'family video', 'drive-thru', 'Christmas park', 'christmas for kids', 'kids intertainment', 'nastya and dad', 'nastya', 'like nastya', 'настя']",92802,31090,16847793
Nastya plays with shadow puppets and glowing toys,Like Nastya,"Nastya does not like darkness and shadows. But dad helps her to love funny shadows and games in the dark.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-20T06:00:19Z,"['nastya', 'kids play', 'shadow story', 'funny shadows', 'shadows for kids', 'shadow puppets', 'story for kids', 'family video', 'play toys', 'glowing toys', 'nastya and dad', 'like nastya', 'настя']",322950,159432,76879023
Nastya tries to catch Santa Claus,Like Nastya,"Nastya wants to catch Santa Claus and sets up a camera near the Christmas tree.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-18T06:00:07Z,"['christmas', 'catch Santa', 'Santa Claus', 'christmas for kids', 'christmas story', 'story for kids', 'Christmas tree', 'kids', 'pretend play', 'nastya', 'nastya and papa', 'like nastya', 'настя']",18400,6407,4066185
Nastya and Watermelon with a fictional story for kids,Like Nastya,"Nastya's dad got into a watermelon and Nastya is trying to disenchant him. A funny fictional story for kids
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-16T06:00:02Z,"['nastya', 'nastya and papa', 'watermelon', 'story for kids', 'fictional story', 'pretend play', 'kids stories', 'kids videos', 'nastya stories', 'nastya english', 'नाटक खेलते हैं', 'बच्चों के लिए कहानियां', 'настя', 'Настя и папа']",263722,110764,42567545
Nastya and Merry Christmas Stories for Kids,Like Nastya,"Nastya, like all children, loves Christmas and gifts. Check out her hilarious collection of Christmas stories.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-13T07:00:02Z,"['Christmas Stories for Kids', 'Merry Christmas', 'collection for kids', 'kids stories', 'Christmas stories', 'christmas for kids', 'gifts for kids', 'kids videos', 'toys', 'christmas tree', 'santa clause', 'nastya', 'nastya stories', 'like nastya', 'настя', 'лайк настя']",66596,29327,11894187
Nastya and an educational story about professions and schooling,Like Nastya,"An educational video for children talks about how important it is to study and gain knowledge in order to choose a favorite profession.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-11T07:00:07Z,"['professions for kindergarten', 'educational videos for kids', 'schooling', 'educational story', 'pretend play', 'educational videos', 'learn and play', 'nastya', 'like nastya', 'настя']",40828,10648,5950243
Nastya and dad are playing with Santa Claus in Christmas toys,Like Nastya,"Nastya and dad received a new toy from Santa Claus. Now they have fun playing with the new Christmas toys from Santa Claus.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-09T06:00:01Z,"['Christmas', 'toys for kids', 'Santa Claus', 'christmas toys', 'christmas videos for kids', 'christmas gifts', 'play', 'nastya and dad', 'nasty', 'настя', 'лайк настя', 'Настя и папа']",126815,59259,25768682
Nastya learns from Meggie the rules of the Princesses,Like Nastya,"Nastya wants to become beautiful and for this she follows all the rules for princesses that Meggie teaches her.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-07T06:00:00Z,"['princess rules', 'rules for kids', 'how to become a princess', 'behavior for kids', 'rules for girls', 'pretend play', 'nastya and friends', 'nastya and maggie', 'настя']",230305,81072,44977022
Christmas song for kids about Nastya and Santa Claus,Like Nastya,"Nastya is waiting for Santa Claus, but he does not come. She sings a song to him, decorates the house and the Christmas tree, and then Santa comes to her with gifts.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-05T06:00:20Z,"['Christmas song', 'song for kids', 'Santa Claus', 'Santa song', 'sing-along songs', 'sing-along', 'children songs', 'christmas songs for kids', 'kids videos', 'nastya', 'nastay song', 'like nastya', 'настя', 'настя песня']",180337,64119,35590924
Nastya and New Collection for kids of funny Stories,Like Nastya,"Nastya and funny cases about the outdoor picnic, colored pasta and many other series. Nastya comes up with interesting stories.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-12-03T06:00:20Z,"['Nastya', 'Nastya and dad', 'Like Nastya', 'stories for kids', 'kids videos', 'play toys', 'Настя', 'Настя и папа', 'New Stories for Kids', 'Collection']",33442,12523,5527777
Nastya and papa in a funny house with treats,Like Nastya,"Nastya and dad were hungry and went into the house that invited them. But there they found only unhealthy food and did not eat it, but they had great fun in a mysterious house. Filmed at The Sweet Escape Mansion vacation rental near Orlando, Florida.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-30T06:30:02Z,"['nastya and papa', 'play fun', 'family fun', 'family trip', 'funny house', 'candy house', 'pretend play', 'mysterious house', 'for kids', 'nastya', 'настя', 'настя и папа']",95296,29528,15655720
Nastya and dad are playing hide and seek,Like Nastya,"Nastya asks her dad to play with dolls. But dad decided to play hide and seek.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-28T06:00:06Z,"['nastya', 'nastya and dad', 'family fun', 'playing', 'hide and seek', 'pretend play', 'play toys', 'nastya play', 'play time', 'настя', 'настя и папа']",60749,26407,12415311
Nastya and Princess song,Like Nastya,"Nastya and a song for kids about princesses. Nastya loves to dress up as princesses and set a good example. A new song for kids about princesses
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-26T06:00:07Z,"['songs for kids', 'Kids Song', 'Princess Song', 'dress up', 'princess dress', 'princess dress up', 'sing along', 'nastya song', 'music video', 'nastya', 'like nastya', 'настя']",20029,5828,3808462
Nastya and papa are learning to count to 10,Like Nastya,"Nastya and her dad are learning how to count to 10 with the help of funny objects.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-24T06:00:10Z,"['Nastya and papa', 'count to 10', 'learning to count', 'numbers', 'learn and play', 'numbers for kids', 'nastya and dad', 'настя', 'nastya']",39808,14179,6843372
Nastya plays a police officer and asks dad to wear a mask,Like Nastya,"Nastya plays a policeman and asks dad to wear a mask
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-21T06:00:06Z,"['nastya', 'nastya and dad', 'play police officer', 'wear a mask', 'pretend play', 'kids masks', 'toys', 'kids role play', 'wear mask', 'like nastya', 'настя']",159053,69646,28732552
Nastya and New Episodes about Kids Behavior,Like Nastya,"Nastya and New Episodes about Kids Behavior
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-19T06:00:03Z,"['nastya', 'nastya english version', 'nastya and dad', 'nastya new', 'new episode', 'Kids Behavior', 'pretend play', 'kids video', 'play', 'like nastya', 'настя лайк', 'настя новые серии', 'настя']",188644,72419,29176583
Nastya and papa go to a picnic to eat lunch,Like Nastya,"Nastya is going with her dad to a picnic. She took a lunch box with healthy food.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-17T06:00:01Z,"['nastya', 'nastya and dad', 'like nastya', 'picnic', 'healthy food', 'healthy food for kids', 'lunch for kids', 'pretend play', 'настя', 'лайк настя', 'настя и папа']",261638,107998,49573713
Nastya and dad got into a mysterious test,Like Nastya,"Nastya must find a key to open her dad, who is sitting in a mysterious house.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-14T06:00:06Z,"['nastya', 'nastya and dad', 'pretend play', 'mysterious adventures', 'toys', 'play toys', 'mysterious house', 'kids video', 'like nastya', 'настя', 'лайк нстя', 'настя и папа']",220348,94124,42816428
Nastya and Papa are preparing colored noodles,Like Nastya,"Nastya made colored plastin noodles, and dad made real multi-colored spaghetti.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-12T06:00:01Z,"['nastya and dad', 'pretend play', 'noodles', 'colored noodles', 'video for kids', 'play', 'toys', 'nastya', 'like nastya', 'настя']",79577,30866,14652492
Nastya learns to write words correctly,Like Nastya,"Nastya inserts missing letters into words. She is learning to spelling new words.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-10T06:00:01Z,"['nastya', 'learns to write', 'kids learning', 'learning video', 'spelling words', 'spelling for kids', 'nastya learns', 'like nastya', 'настя', 'лайк настя']",129714,44967,25367730
Nastya and dad have created a funny collection of new stories for children,Like Nastya,"Nastya and dad have created a funny collection of new stories for children
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-08T06:00:02Z,"['Nastya', 'Nastya and dad', 'stories for kids', 'New Stories for Kids', 'kids videos', 'play toys', 'Настя и папа', 'Настя']",137837,60579,22772533
Nastya pretends to play Bakery,Like Nastya,"Nastya plays and prepares beautiful cakes for visitors
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-06T06:00:11Z,"['nastya', 'play bakery', 'pretend play', 'toy food', 'toys for kids', 'like nastya', 'настя', 'лайк настя']",26980,8217,4681725
Настя и влог в парке развлечений на Хэллоуин,Like Nastya,"Настя и папа собирают сладости на праздник Хэллоуин в парке развлечений.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-04T07:00:12Z,"['nastya', 'nastya and dad', 'halloween', 'nastya vlog', 'в парке', 'настя влог', 'парк для детей', 'настя и папа', 'лайк настя', 'настя']",88919,31675,15404382
Nastya is trying to sleep,Like Nastya,"Nastya asks her dad to read a fairy tale, bring water, but she just can't sleep.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-11-02T06:00:02Z,"['nastya', 'nastya and dad', 'pretend play', 'kids video', 'kids story', 'like nastya', 'настя', 'настя и папа']",29549,9701,5556723
Nastya and adventures in a mysterious house,Like Nastya,"Nastya and dad went on a weekend vacation to a mysterious house with adventures.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-27T06:00:04Z,"['nastya', 'mysterious house', 'adventures for kids', 'pretend play', 'magic for kids', 'nastya and dad', 'like nastya', 'настя']",287149,111471,60979898
Nastya draws mysterious drawings,Like Nastya,"Nastya draws mysterious drawings
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-25T06:00:05Z,"['nastya', 'drawing for kids', 'kids drawing', 'kids painting', 'pretend play', 'draw', 'настя', 'настя и папа', 'like nastya', 'toys', 'play toys', 'nastya and dad', 'mysterious']",22357,8043,4588970
Nastya plays with her dad outside with new toys,Like Nastya,"Nastya and dad are competing for a prize. They play with new toys outside and receive gifts.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-23T13:43:43Z,"['nastya', 'nastya and dad', 'toys', 'toys for kids', 'pretend play', 'competition', 'outdoor', 'outdoor play', 'настя', 'лайк настя']",38666,12876,6289280
Настя и папа соревнуются за подарок с игрушками,Like Nastya,"Настя и папа устроили соревнования. Кто выиграет получает подарок с игрушками.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-23T06:00:10Z,"['nastya', 'play with toys', 'kids toys', 'pretend play', 'kids competitions', 'nastya and dad', 'playing', 'family friendly', 'настя', 'игрушки', 'лайк настя']",340020,141836,70934068
Nastya sings her favorite kid's songs,Like Nastya,"Nastya and a collection of kid's songs sung by Nastya.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-21T06:00:05Z,"['nastya', 'nastya song', 'song for kids', ""kid's songs"", 'sing along', 'kids music', 'music video', 'настя']",222765,105871,43720300
Nastya and Stacy show good and bad behavior for kids,Like Nastya,"Nastya teaches good behavior, but Stacy does not want to listen and behaves badly.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-18T06:00:02Z,"['nastya', 'behavior for kids', 'good behavior', 'kids pretend', 'good behaviour for kids', 'pretend play', 'nastya and stacy', 'stacy', 'настя']",355910,114743,57657410
Nastya and her mysterious adventures with dolls,Like Nastya,"Nastya plays with dolls and pretends that she is also a doll. Nastya celebrates the doll's birthday and sings a song.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-16T06:00:02Z,"['nastya', 'like nastya', 'настя', 'stacy', 'stacy show', 'dolls', 'doll', 'baby doll', 'baby dolls', 'kids toys', 'pretend', 'play', 'toys for kids', 'girl toys', 'new toys', 'toys', 'for kids', 'video for kids', 'kids', 'pretend play', 'mysterious', 'adventures', 'kids video']",47014,15510,7668033
Nastya is going for Halloween treats,Like Nastya,"Nastya dresses up in a costume and goes in search of treats for Halloween
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-14T06:00:06Z,"['nastya', 'Halloween treats', 'halloween for kids', 'kids costume', 'trick or treat', 'treats for kids', 'halloween toys', 'pretend play', 'настя']",150073,63225,31070950
Nastya pretends to be a parent for dad,Like Nastya,"Nastya is like a parent for dad. She feeds him breakfast and takes him to school.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-11T06:00:10Z,"['nastya', 'pretends to be a parent', 'pretend play', 'kid pretend', 'kids and parents', 'role play for kids', 'nastya and dad', 'playing', 'настя']",710167,315544,161062266
Nastya and all the animals in her house,Like Nastya,"Nastya brings various animals to her home, but her favorite pets are cats.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-09T06:00:02Z,"['nastya', 'kids and pets', 'my pet', 'animals for kids', 'play with pets', 'animals at home', 'nastya and cat', 'настя']",264855,113668,51118378
Nastya and Halloween jokes for dad,Like Nastya,"Nastya tries to make fun of her dad with Halloween toys.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-07T06:00:04Z,"['nastya', 'halloween for kids', 'halloween costumes', 'toys for kids', 'jokes', 'kids jokes', 'pretend play', 'Halloween toys', 'nastya and dad', 'настя']",173120,83050,40418768
Nastya and a fun family trip,Like Nastya,"Nastya and dad went on a journey, where they found a lot of entertainment for children and the whole family.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-05T06:00:05Z,"['nastya', 'family trip', 'family fun', 'entertainment for kids', 'kids video', 'journey', 'kids play', 'настя']",622410,258742,141875113
Nastya and mysterious adventures on Halloween,Like Nastya,"Nastya has many mysterious Halloween-themed stories for kids.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-03T07:00:01Z,"['nastya', 'halloween', 'magic for kids', 'toys for kids', 'petend play', 'halloween for kids', 'настя']",534068,219677,97558838
Nastya turns into magical costumes for kids,Like Nastya,"Nastya turns into magical kids costumes to save her dad. Nastya and dad win everyone
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-10-01T06:00:01Z,"['nastya', 'costumes for kids', 'toys for kids', 'nastya and dad', 'chooses characters', 'entertainment for kids', 'kids video', 'настя']",475944,217434,99740626
Nastya is dancing with a new flying doll at home,Like Nastya,"Nastya got a new amazing toy, but it soon disappeared. Nastya went in search
#ad
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-28T18:26:27Z,,69975,22828,12677150
Nastya Learns English Alphabet with dad,Like Nastya,"Nastya and dad open boxes with letters and learn the English alphabet
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-26T06:00:06Z,"['nastya', 'learn english', 'learning the alphabet', 'alphabet', 'learn and play', 'pretend play', 'настя']",437793,236570,91885175
Nastya Learns How To Foster a Kittens,Like Nastya,"Nastya is trying to put the kittens to bed and feed them. But they don't want to eat and sleep. Nastya is calling the veterinarian.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-24T06:00:01Z,"['nastya', 'cat', 'cats', 'kitten', 'how to', 'foster kitten', 'kitten videos', 'my pet', 'kids', 'pet', 'for kids', 'like nastya', 'настя']",535009,205126,89214820
Nastya and the stories about Ice Cream,Like Nastya,"Nastya and stories about how Nastya buys ice cream from her dad.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-22T06:00:01Z,"['like nastya', 'ice cream', 'pretend play', 'toys', 'play toys', 'ice cream story', 'kids story', 'nastya and dad', 'english story for kids', 'nastya', 'настя']",466192,226901,88298096
Nastya tries on Halloween costumes in the store with her dad,Like Nastya,"Nastya tries on Halloween costumes in the store with her dad and after, they decorate pumpkins.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-21T06:00:10Z,"['nastya', 'decorate pumpkins', 'halloween for kids', 'halloween toys', 'halloween costumes', 'costumes for kids', 'toys for kids', 'nastya and dad', 'настя']",711447,351883,158682911
Nastya and papa in a mysterious maze with surprises,Like Nastya,"Nastya and dad find themselves in a mysterious labyrinth with surprises.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-19T06:00:03Z,"['nastya', 'magic for kids', 'toys for kids', 'petend play', ""children's labyrinth"", 'nastya and papa', 'nastya for kids', 'настя']",460632,201776,100840288
Nastya found a toy that makes wishes come true,Like Nastya,"Nastya found a toy that makes wishes come true
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-16T06:00:02Z,"['nastya', 'pretend play', 'toy', 'настя']",195805,84571,47012837
Nastya and a Funny Collection of Summer Stories for Kids,Like Nastya,"Nastya and a Funny Collection of Summer Stories for Kids
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-13T21:53:16Z,"['nastya', 'stories for kids', 'Collection', 'videos for kids', 'funny stories', 'nastya and dad', 'summer stories for kids', 'настя']",482436,235194,85843095
Nastya pretends to play with two dolls similar to Nastya and dad,Like Nastya,"Nastya loves to play with toys and especially with dolls.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-12T06:00:02Z,"['nastya', 'play toys', 'dolls', 'pretend play', 'nastya play', 'play with doll', 'nastya and dad', 'настя']",99775,38879,21680868
Nastya found a boy doll and pretends to be a parent - Trailer,Like Nastya,"Nastya found a boy doll and pretends to be a parent - Trailer
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-11T06:00:09Z,"['nastya', 'trailer', 'video for kids']",51136,26286,18218399
Nastya plays on a trampoline and has fun with her grandfather,Like Nastya,"Nastya plays and has fun with her grandfather. Thay ride a huge kid's water slide
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-09T06:00:10Z,"['nastya', 'nastya plays', 'toys for kids', 'play toys', 'trampoline', 'fun for kids', 'nastya and dad', 'family fun', 'like nastya', 'настя']",351374,151538,77219043
Nastya and dad have new pets,Like Nastya,"Nastya asks her dad to buy a new pet. Dad brings a rabbit, a cow and even a crocodile for Nastya.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-09-07T06:00:00Z,"['nastya', 'pets', 'pets for kids', 'nastya and pet', 'animals', 'funny pets', 'nastya and dad', 'kids video', 'настя', 'лайк настя']",678080,358133,160590408
