title,channel_title,desc,date,tags,liked,disliked,views
Настя и папа играют в прятки в Необычном парке развлечений Nastya and papa playing hide and seek,Like Nastya,"Настя и папа играют в прятки Необычный парк развлечений c гигантскими жуками и лягушками. Настя ищет папу а потом папа ищет Настю. Кто лучше прятался? пишите!
Nastya and papa playing hide and seek",2018-05-18T07:00:06Z,"['прятки', 'настя и папа', 'развлечения', 'видео для детей', 'игра в прятки', 'детское видео', 'папа', 'в парке', 'для детей', 'парк развлечений', 'играем в', 'fun', 'for kids', 'hide and seek', 'papa', 'pretend play', 'playing', 'hide n seek', 'play', 'hide', 'hide and seek game', 'hiding', 'лайк настя', 'настя', 'nastya']",24911,11890,9437592
Настя покупает новую игрушку и идёт развлекаться в парк Пони,Like Nastya,Настя покупает новую игрушку и идёт развлекаться в парк Пони,2018-05-17T07:00:00Z,"['парк для детей', 'пони', 'настя', 'май пони', 'мой маленький пони', 'видео для детей', 'игрушки', 'pony', 'play', 'theme park', 'for kids', 'лайк настя']",28825,10758,12226609
Настя и кукла Лола играют на детской площадке,Like Nastya,Настя покупает новый мотоцикл и с любимой куклой отправляется веселиться на детскую площадку.,2018-05-15T07:00:00Z,"['кукла', 'настя', 'игрушки', 'pretend play', 'baby doll', 'kids toys', 'лайк настя', 'like nastya', 'playing', 'nastya']",143035,69601,55347975
Настя и Папа видят необычные сны,Like Nastya,Настя и Папа - необычные сны. Каждый засыпает и ему снится рай.,2018-05-13T06:15:00Z,"['настя', 'настя и папа', 'игрушки', 'сны', 'pretend play', 'sleep', 'dreams', 'video for kids', 'doll', 'for kids', 'papa', 'nastya', 'playing', 'fun', 'лайк настя']",35730,14755,13641743
Настя и Кукла Пупсик хотят спать! Видео для детей Nastya and baby doll want to sleep Video for kids,Like Nastya,"Настя и Кукла пупсик собираются поспать но им всё время кто-то мешает. Они уходят в тихий парк, но и там сталкиваются с неожиданностями. Весёлое видео для детей.
Nastya and baby doll want to sleep Video for kids",2018-05-12T06:30:01Z,"['кукла', 'пупсик', 'видео для детей', 'спать', 'видео про кукол', 'игрушки', 'для детей', 'baby doll', 'pretend play', 'sleep', 'video for kids', 'toys for kids', 'kids channel', 'toys', 'for kids', 'kids video', 'play', 'настя', 'лайк настя', 'nastya']",296978,142414,85513211
Nastya in a theme park in Thailand,Like Nastya,The Best Outdoor Playground for kids Amusement park with Giant Toys for funny Playtime. Nastya pretends to play with animal sculptures.  Fun video for kids and toddlers.,2018-05-10T07:00:01Z,"['nastya', 'theme park', 'kids park', 'entertainment for kids', 'playground', 'play fun', 'kids video', 'like nastya', 'настя', 'лайк настя']",3020,1305,1205025
Настя КАК МАМА и Куклы Пупсики на детской площадке в парке Забавный инцидент,Like Nastya,"Настя как мама и Куклы Пупсики в парке аттракционов Забавный инцидент. Настя клеет пластыри пупсам которые неудачно катались с горок.
Baby dolls playing with Nastya in the outdoor playground for kids",2018-05-08T07:00:00Z,"['как мама', 'игрушки', 'пупсики', 'настя как мама', 'для детей', 'детская площадка', 'в парке', 'куклы', 'baby doll', 'toys for kids', 'for kids', 'toys', 'play', 'baby', 'playing', 'for girls', 'videos for kids', 'outdoor playground', 'playground', 'dolls', 'like nastya', 'настя']",61661,27738,21673774
Nastya playing with cool toys Funny videos for children Compilation,Like Nastya,Nastya playing with cool toys Funny videos for children Compilation,2018-05-06T07:00:05Z,"['nastya', 'pretend play', 'funny video', 'compilation', 'for kids', 'kids toys', 'kids videos', 'for children', 'videos for kids', 'funny kids', 'toys for kids', 'toys', 'kids video', 'play', 'toy', 'kids', 'video for kids', 'настя', 'cool']",238729,122535,105235566
Влог Настя в зоопарке кормит тигров из бутылочки Развлечения для детей Vlog for kids,Like Nastya,"Влог в парке Настя в зоопарке кормит тигров из бутылочки Развлечения для детей
Nastya plays in the zoo and feeds animals Vlog for kids",2018-05-05T06:30:02Z,"['влог', 'vlog', 'в парке', 'зоопарк', 'парк', 'для детей', 'развлечения для детей', 'парк развлечений', 'настя', 'детское видео', 'детский влог', 'канал для детей', 'новое видео', 'развлечения', 'видео для детей', 'детский канал', 'kids channel', 'video for kids', 'kids video', 'fun', 'for kids', 'nastya']",35424,12916,12273205
Skip to my Lou - Nursery Rhyme song for kids by Nastya,Like Nastya,"Skip to my Lou - Nursery Rhyme song for kids by Nastya
Funny song about cute baby and her little pet dog.",2018-05-03T06:30:00Z,"['skip to my lou', 'songs for kids', 'nursery rhymes', 'skip', 'for kids', 'song', 'baby', 'baby song', 'video for kids', 'kids song', 'nastya', 'like nastya', 'настя', 'лайк настя']",451490,235844,223215891
