,title,channel_title,desc,date,tags,liked,disliked,views,comment
10,Emma Pretend Play w/ Cute Pink Kitchen Restaurant Toy Cooking Food Kids Playset,Toys and Colors,"Emma pretend play with her cute pink kitchen restaurant toy. She cooks pretend food kids toy at her new restaurant kitchen. Uncle K gave Emma the new kitchen toy and chef’s costume to wear. They pretend play selling and making food at a pretend restaurant. Uncle K takes Emma to Uncle John’s toy store and buys her a lot of pretend food toys for the restaurant. Emma cooks French fries, taco, fruits and veggies, spaghetti, eggs, bread, sandwich, burgers, and pizza toy!",2018-08-26T12:00:06Z,"['emma', 'pretend play', 'emma pretend play', 'kitchen toy', 'toy', 'toys', 'kitchen', 'cook', 'restaurant', 'restaurant toys', 'pretend food', 'food', 'food toys', 'chef', 'fries', 'taco', 'fruits', 'veggies', 'spaghetti', 'sandwich', 'burgers', 'pizza', 'cute pink kitchen', 'giant kitchen toy', 'kid cooks pretend food', 'kids toys', 'toys and colors', 'kids play', 'toys play', 'cooking playset']",188893,75481,93524715,
11,Menggambar Dan Mewarnai Peralatan Memasak (Kompor dan Panci) untuk Anak-anak | Ara Plays Art,Ara Plays Art,"Halo teman-teman 😊
Hari ini saya menggambar dan mewarnai kompor dan Panci menggunakan cat air dan glitter 🌈💖
Selamat menonton 😊",2020-09-17T11:51:58Z,,,,21078914,0
12,Wendy & Emma Pretend Play w/ Giant Kitchen Cooking Toy Compilation,Toys and Colors,New compilation video that includes kitchen and cooking toys! Wendy and Emma pretend play with their giant kitchen toy play set and decide to have a cooking competition. They both make different types of food and ask Auntie Rose who did better. Who do you guys think won the kitchen competition?,2018-11-06T13:00:05Z,"['wendy', 'emma', 'pretend play', 'pretend play kitchen', 'kitchen', 'kitchen playset', 'pretend play cook', 'cooking toy', 'kitchen toy', 'cook', 'pretend food', 'girl toys', 'food toys', 'cooking competition', 'toy', 'toys', 'toys and colors', 'toys play', 'kids play', 'pretend food toys', 'pretend play toys', 'cute', 'giant kitchen toy', 'play', 'fun', 'toys compilation', 'kids compilation', 'compilation']",419333,217474,148879931,
13,Jannie and Alex Pretend Play Hair and Beauty Toy Salon,Toys and Colors,"Alex opens a new pretend play hair and beauty toy salon! He never got learned how to properly do it, so he messes up everyone’s hair! Uncle Jorge teaches the kids that getting an education is worth it even though it can sometimes seem boring or useless. Wendy, Jannie, and Alex all learn a great lesson about having a good education.

Subscribe for notifications to new videos: https://www.youtube.com/channel/UCgFXm4TI8htWmCyJ6cVPG_A?sub_confirmation=1

Check out our latest videos playlist: https://www.youtube.com/watch?v=fsHnS3mZglg&list=PL5gq3QGk5j3hRwpMNKQ9L5NyUt3FiTmSy",2020-12-03T13:00:00Z,"['hair salon', 'hair salon toys', 'play beauty salon', 'toy', 'toys', 'kids toys', 'jannie', 'alex', 'wendy', 'pretend play', 'toys and colors', 'kids haircut', 'pretend haircut', 'haircut toys', 'toy salon', 'beauty toy salon', 'for kids']",59582,25520,24913794,
14,NURSERY REVEAL ~ NEW BABY DOLLHOUSE ROOM CLOSET CLEANING TOUR!,agoverseasfan,"Instagram: @agoverseasfan
Facebook: agoverseasfan
TikTok: therealagosf


Music: First Steps 
by Peter McIsaac Music
LICENSE #475329 non-exclusive STANDARD
http://www.premiumbeat.com

#babydoll #dollroom #playhouse",2019-01-11T16:47:28Z,"['Baby Doll Nursery Care', 'Baby Doll Nursery Care Toy Set! Play feeding baby doll', 'BABY DOLL NURSERY TOUR', 'Baby Doll BABY SITTER! 🎀 Setting up Dolls Room!', 'Baby Doll Nursery Closet Wardrobe Tour!', 'Baby Born Baby Annabell', 'Nursery Rhymes', 'Baby Dolls Nursery Center Set up', 'BABY ALIVE', 'Baby Doll', 'Baby', 'Nursery', 'Baby Doll nursery', 'Play', 'Play Toys', 'Family', 'Baby Family', 'Bunk Bed', 'Doll Bunk Bed', 'Twins', 'Doll Twins', 'Doll Bedroom', 'Doll Closet', 'Kids Play', 'Bity Baby', 'Bitty Baby', 'Doll Clothes']",25775,4086,6032286,1282
15,Emma Pretend Play w/ Cute Wooden Colorful Flower Shop Girl Kids Toys Playset,Toys and Colors,"Emma pretend play with her wooden flower shop girl toy for kids. Emma is selling a lot of cute and colorful flower toys. Uncle Tim arrives and competes with Emma and Uncle K by selling cheap flowers. Emma has a great idea and goes to Uncle John’s costume shop to buy a flower costume. Uncle John’s costume was too expensive, but they sold him flowers in exchange for the costume. Uncle John makes Emma a giant sunflower in a pot costume. They go back with the costume and sells a lot of flower toys to Auntie. Emma buys all of Uncle Tim’s flowers and decorates Auntie’s unicorn ride.",2018-08-28T12:00:08Z,"['emma', 'pretend play', 'emma pretend play', 'wooden toys', 'wooden flower shop', 'flower toy', 'girl toys', 'kids toys', 'flower costume', 'kid costume', 'flowers', 'toy', 'toys', 'toys and colors', 'kids play', 'toys play', 'toys for kids', 'shop', 'playset', 'flower playset', 'colorful flowers']",56273,25761,34524230,
16,Emma Pretend Play w/ Cute Pink Kitchen Restaurant Toy Cooking Food Kids Playset,Toys and Colors,"Emma pretend play with her cute pink kitchen restaurant toy. She cooks pretend food kids toy at her new restaurant kitchen. Uncle K gave Emma the new kitchen toy and chef’s costume to wear. They pretend play selling and making food at a pretend restaurant. Uncle K takes Emma to Uncle John’s toy store and buys her a lot of pretend food toys for the restaurant. Emma cooks French fries, taco, fruits and veggies, spaghetti, eggs, bread, sandwich, burgers, and pizza toy!",2018-08-26T12:00:06Z,"['emma', 'pretend play', 'emma pretend play', 'kitchen toy', 'toy', 'toys', 'kitchen', 'cook', 'restaurant', 'restaurant toys', 'pretend food', 'food', 'food toys', 'chef', 'fries', 'taco', 'fruits', 'veggies', 'spaghetti', 'sandwich', 'burgers', 'pizza', 'cute pink kitchen', 'giant kitchen toy', 'kid cooks pretend food', 'kids toys', 'toys and colors', 'kids play', 'toys play', 'cooking playset']",188893,75481,93524715,
17,How to Draw Gingerbread House Easy for Kids! Drawing Ideas for Children,Draw Magic! Cute Drawings and Drawing Tutorials,"Coloring Pages and Art for Kids: How to Draw Gingerbread House Easy for Kids! Step by Step Drawing Tutorial for Children.

Be the first to watch our new how to draw videos! SUBSCRIBE NOW: https://goo.gl/xrSYvA

At Draw Magic TV we publish new educational videos for children on a regular basis. 

Our drawing and coloring videos are fun to watch and a great resource to help your kids be creative while having fun!",2017-11-28T17:40:13Z,"['how to draw gingerbread house', 'paint coloring pages', 'coloring pages for kids', 'paint coloring pages for kids', 'gingerbread house for kids', 'gingerbread house for children', 'gingerbread house drawing for kids', 'easy drawing ideas for kids', 'easy drawing ideas for children', 'paint color pages for kids', 'christmas drawing ideas for kids', 'easy things to draw for kids', 'easy things to draw for children', 'christmas drawings for kids', 'christmas drawings easy']",256,71,2959708,0
18,"Kids, let's Learn Common Words with Woodzeez Toy Dollhouse!",Genevieve's Playhouse - Learning Videos for Kids,"Kids, let's Learn Common Words with Woodzeez Toy Dollhouse!
 In this preschool educational learning video for kids and toddlers, let's learn common words with cute toy Woodzeez! Our cute Woodzeez family, the Tailfeathers, are moving to a new toy house, but to get there, they must fly in the Woodzeez toy airplane. Let's help them decorate their new toy house so that the love their new home =)

******
Special Thanks to Woodzeez for providing us with many of the amazingly, cute toys featured in this video! Be sure to check out:
https://woodzeez.com/
for their great toy selection!


Subscribe to Genevieve's Playhouse Here:
https://www.youtube.com/GenevievesPlayhouse?sub_confirmation=1

Play these other learning videos for kids!
Giant 1 Hour Long Paw Patrol Learning Videos: https://youtu.be/1tX2cyvMzX4
Educational Toy Car Videos for Kids: https://youtu.be/XN8k8ZkJwiQ
PJ Masks Toy Car Race: https://youtu.be/k0Twsb22Ld4
Genevieve Teaches Numbers with Cookie Monster: https://youtu.be/_X78XfQkLk0
Learn Words with Pororo the Little Penguin Toy House: https://youtu.be/G-zIQqBE-Jg
Laguna Blue and Pinkie Pie are Hungry: https://youtu.be/oCbegRDxgak
Learn Colors w/ Paw Patrol Underwater Rescue Mission: https://youtu.be/RhrKJvAKsGQ
Peppa Pig gets a NEW House! https://youtu.be/OoMONAVtcDw",2019-11-07T02:20:32Z,"['best', 'toddler learning video', 'for kids', 'learn colors', 'genevieve', 'dollhouse', 'best toys', 'toy video', 'toddler learning', 'learn words', 'teach kids', 'teach toddlers', 'preschool toys', 'pororo the little penguin', 'house', 'toy house', 'kids', 'learning', 'colors', 'video', 'toy', 'preschool', 'toys', 'toddlers', 'learn', 'toddler', 'play', 'words', 'woodzeez', 'dolls', 'airplane']",21293,8313,19374778,
19,Doc Mcstuffins to the Rescue | Kyraboo Playing Animal Hospital,Kamdenboy & Kyraboo,"SUBSCRIBE & BECOME a KB KID! ▶️ https://www.youtube.com/c/KyraKam

Watch as Kyraboo AKA Doc McStuffins comes to the rescue to help KB Dad! KB Dad and KB Bear had an accident and need help. Kyraboo is able to help by using her Doc McStuffins Toy Hospital First Responders Backpack Set. It includes first responders backpack, magical light-up play walkie talkie, play otoscope, play cast, and bandage box. She also uses a Doc McStuffins stethoscope. Thank you all for watching! We hope you enjoy this fun skit!

🏅 We are included on the Top 30 Kids Toy Review Youtube Channel List!
https://blog.feedspot.com/kids_toy_review_youtube_channels/

FOLLOW US
💙 Instagram ➤ https://www.instagram.com/kyra.and.kam/
💙 Facebook ➤ https://www.facebook.com/KyraKamden/
💙 Twitter ➤ https://twitter.com/kyra_and_kam 
💙 Pinterest ➤ https://www.pinterest.com/kamandkyra/

Equipment & Software Used
*****************************

Iphone 8 Plus https://amzn.to/2CfNbMI
Zhiyun Smooth-Q Gimbal Stabilizer https://amzn.to/2CfPPSI
MeFoto Tripod https://amzn.to/2RNSVCM
Kino Flo Diva Light https://amzn.to/2ChQJyh
DaVinci Resolve https://www.blackmagicdesign.com/products/davinciresolve/
Adobe Creative Cloud https://amzn.to/2pUE3WE

We use TubeBuddy to help grow our channel! Check it out!
https://www.tubebuddy.com/KyraKam

Disclosure: Please note that some of the links above are affiliate links, and at no additional cost to you, we will earn a commission if you decide to make a purchase after clicking through the link. As an Amazon Associate we earn from qualifying purchases. This helps support our channel so we can continue to create. Thank you so much for the support!


#docmcstuffins #pretendplay #skit",2019-04-26T12:00:07Z,"['kyraboo as Doc McStuffins to the rescue', 'doc mcstuffins', 'disney', 'disney jr', 'toy hospital', 'pet rescue', 'toys', 'mcstuffins', 'toy genie', 'disney channels', 'disney channel', 'disney channel africa', 'dottie', 'dolls', 'disney channels uk', 'disney junior uk diana', 'diana and roma', 'kids diana show', 'диана', 'first responders backpack', 'doc mcstuffins best ever', 'toys academy', 'make me better playset', 'doc mcstuffins full episodes', 'mcstuffins unboxing', 'doc mcstuffins theme song', 'skit', 'pretend']",37442,15967,21433062,
